Plot,Quadrant,ID,Type,Number,Species,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,Location_Name,Condition,GBH_Stem3_cm,GBH_Stem4_cm,GBH_Stem5_cm,GBH_Stem6_cm,Remarks,Total_GBH_cm,Subplot_ID,Notes,DBH1_cm,DBH2_cm,DBH3_cm,Effective_DBH_cm,Wood_Density_g_cm3,AGB_M1_kg,Carbon_Stock_M1_kg,CO2_Eq_M1_kg,AGB_M2_kg,Carbon_Stock_M2_kg,CO2_Eq_M2_kg
Plot-P06,Q2,T49,Tree,1,Acacia nilotica,31.0,0.0,,8.0,Chande Village,Live,0.0,0.0,0.0,0.0,Live,31.2,,,9.867606471697512,0.0,,9.867606471697512,0.62,28.022485643840422,16.594915998282296,60.84802532703508,102.11001926259836,60.46955340731074,221.72169582680604
Plot-P06,Q3,T50,Tree,1,Pongamia pinnata (Karanj),77.5,0.0,,13.5,Chande Village,Live,0.0,0.0,0.0,0.0,Live,77.5,,,24.669016179243776,0.0,,24.669016179243776,0.62,279.30292445000566,165.40319185929334,606.4783701507422,1017.1443117489158,602.3528614177079,2208.627158531596
Plot-P06,Q3,T51,Tree,1,Gliricidia sepium,37.0,0.0,,10.5,Chande Village,Live,0.0,0.0,0.0,0.0,Live,37.1,,,11.777465788800257,0.0,,11.777465788800257,0.62,51.61350150026755,30.565515588458446,112.07355715768097,159.78501319567027,94.62468481447593,346.95717765307836
Plot-P06,Q4,T52,Tree,1,Tectona grandis (teak),96.0,0.0,,14.0,Chande Village,Live,0.0,0.0,0.0,0.0,Live,96.3,,,30.557749073643905,0.0,,30.557749073643905,0.62,439.5084319299711,260.27689338892884,954.348609092739,1727.720814953439,1023.1562666154265,3751.572977589897
Plot-P06,Q4,T53,Tree,1,Ficus religiosa,126.0,0.0,,16.5,Chande Village,Live,0.0,0.0,0.0,0.0,Live,126.2,,,40.10704565915763,0.0,,40.10704565915763,0.62,877.2844576889856,519.5278558434172,1904.9354714258632,3373.2014583126006,1997.6099036127218,7324.56964657998
Plot-P07,Q1,T54,Tree,1,Gliricidia sepium,43.0,0.0,,7.0,Warje Hills I,Live,0.0,0.0,0.0,0.0,Live,43.2,,,13.687325105903,0.0,,13.687325105903,0.62,46.59066550811262,27.590992113904292,101.16697108431573,233.38628674731441,138.21135901175958,506.7749830431184
Plot-P07,Q2,T55,Tree,1,Pongamia pinnata (Karanj),95.5,0.0,,11.5,Warje Hills I,Live,0.0,0.0,0.0,0.0,Live,95.8,,,30.39859413055201,0.0,,30.39859413055201,0.62,359.0545835998622,212.63212440783838,779.6511228287407,1705.5913308424974,1010.051186124927,3703.521015791399
Plot-P07,Q3,T56,Tree,1,Anogeissus latifolia,111.0,0.0,,14.0,Warje Hills I,Live,0.0,0.0,0.0,0.0,Live,111.3,,,35.33239736640076,0.0,,35.33239736640076,0.62,583.5045126370629,345.55137238366865,1267.0216987401184,2470.83375774864,1463.2277513387446,5365.168421575397
Plot-P07,Q4,T57,Tree,1,Dalbergia latifolia,80.5,0.0,,10.0,Warje Hills I,Live,0.0,0.0,0.0,0.0,Live,81.0,,,25.62394583779515,0.0,,25.62394583779515,0.62,224.4224814912516,132.9029935391192,487.3109763101037,1117.611812764185,661.8497155189503,2426.7822902361513
Plot-P08,Q1,T58,Tree,1,Boswellia serrata,131.0,0.0,,16.0,Warje Hills II,Live,0.0,0.0,0.0,0.0,"Leaf fall initiating, canopy thinning",131.1,,,41.69859509007658,0.0,,41.69859509007658,0.62,918.5175820122821,543.9461120676734,1994.469077581469,3710.798722291426,2197.5350033409823,8057.628345583601
Plot-P08,Q2,T59,Tree,1,Tectona grandis,126.0,0.0,,15.5,Warje Hills II,Live,0.0,0.0,0.0,0.0,Live,126.2,,,40.10704565915763,0.0,,40.10704565915763,0.62,825.3532070661502,488.77416922457417,1792.1719538234386,3373.2014583126006,1997.6099036127218,7324.56964657998
Plot-P08,Q2,T60,Tree,1,Gliricidia sepium,58.5,0.0,,9.0,Warje Hills II,Live,0.0,0.0,0.0,0.0,Live,58.5,,,18.62112834175176,0.0,,18.62112834175176,0.62,108.58797680186035,64.30579986206169,235.78793282755953,504.979713360982,299.0489862523735,1096.512949592036
Plot-P08,Q3,T61,Tree,1,Lagerstroemia microcarpa,105.5,0.0,,13.0,Warje Hills II,Live,0.0,0.0,0.0,0.0,Live,105.6,,,33.58169299238992,0.0,,33.58169299238992,0.62,491.5303226308121,291.0842570619669,1067.3089425605453,2180.320693540436,1291.185914714646,4734.348353953702
Plot-P08,Q4,T62,Tree,1,Albizia lebbeck,90.5,0.0,,11.0,Warje Hills II,Live,0.0,0.0,0.0,0.0,Live,90.7,,,28.807044699633057,0.0,,28.807044699633057,0.62,309.54948727232784,183.31520636267254,672.1557566631326,1493.4086757670311,884.3966177892357,3242.787598560531
Plot-P08,Q4,T63,Tree,1,Ficus racemosa,146.0,0.0,,17.0,Warje Hills II,Live,0.0,0.0,0.0,0.0,Live,146.2,,,46.47324338283344,0.0,,46.47324338283344,0.48,938.004414219209,555.4862141006156,2036.7827850355905,6210.7434719650655,3678.0022840977117,13486.008375024943
Plot-P09,Q1,T64,Tree,1,Mangifera indica,151.0,0.0,,15.0,Warje Urban Garden,Live,0.0,0.0,0.0,0.0,Live,151.3,,,48.06479281375239,0.0,,48.06479281375239,0.62,1138.1011747710907,673.9835156994399,2471.272890897946,5252.657044547949,3110.623501781295,11405.619506531415
Plot-P09,Q3,T65,Tree,1,Ficus religiosa,199.0,0.0,,18.0,Warje Urban Garden,Live,0.0,0.0,0.0,0.0,Live,199.2,,,63.34366735057434,0.0,,63.34366735057434,0.62,2330.5583017436015,1380.1566262925608,5060.5742964060555,10281.532461526745,6088.7235237161385,22325.319586959173
